hotel_names,prices,total_reviews,url,ratings
Arthouse Hotel New York City,"$324
$242","7,351 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
New York Marriott Marquis,$302,"13,110 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93507-Reviews-New_York_Marriott_Marquis-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Grand Hyatt New York,"$351
$299","11,798 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
The Gallivant Times Square,$151,"3,149 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d75711-Reviews-The_Gallivant_Times_Square-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Aliz Hotel Times Square,$143,616 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d14149780-Reviews-Aliz_Hotel_Times_Square-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
The Dominick Hotel,$555,"3,805 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1456416-Reviews-The_Dominick_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Fifty Hotel & Suites by Affinia,$204,"2,289 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d502408-Reviews-Fifty_Hotel_Suites_by_Affinia-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
SponsoredThe Hotel @ New York City,$169,"1,839 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99388-Reviews-The_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
CitizenM New York Bowery,"$878
$716",715 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d13635668-Reviews-CitizenM_New_York_Bowery-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Hilton Times Square,$170,"8,360 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d208453-Reviews-Hilton_Times_Square-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Hotel Riu Plaza New York Times Square,$349,"4,667 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d8515751-Reviews-Hotel_Riu_Plaza_New_York_Times_Square-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Radisson Hotel New York Midtown-Fifth Avenue,"$414
$329","2,162 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d607712-Reviews-Radisson_Hotel_New_York_Midtown_Fifth_Avenue-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
citizenM New York Times Square,$300,"4,780 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d6385164-Reviews-CitizenM_New_York_Times_Square-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
SponsoredHotel Pennsylvania,"$351
$299","2,082 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York.html#REVIEWS,3 of 5 bubbles
Hyatt Place New York Midtown South,$284,"2,873 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d2554351-Reviews-Hyatt_Place_New_York_Midtown_South-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Millennium Hilton New York Downtown,$146,"5,626 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d262330-Reviews-Millennium_Hilton_New_York_Downtown-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Hyatt House New York/Chelsea,$299,917 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d10390915-Reviews-Hyatt_House_New_York_Chelsea-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Park Central Hotel New York,$575,"7,244 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Shoreham,$199,"2,512 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93612-Reviews-Shoreham-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
SponsoredHeritage Hotel New York City,"$196
$127","1,120 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
The Empire Hotel,$315,"8,446 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d671150-Reviews-The_Empire_Hotel-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Millennium Times Square New York,"$586
$305","6,878 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93486-Reviews-Millennium_Times_Square_New_York-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Hotel Giraffe by Library Hotel Collection,"$276
$168","4,962 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99762-Reviews-Hotel_Giraffe_by_Library_Hotel_Collection-New_York_City_New_York.html#REVIEWS,5 of 5 bubbles
Novotel New York Times Square,$245,"7,833 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93516-Reviews-Novotel_New_York_Times_Square-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
"Martinique New York on Broadway, Curio Collection by Hilton",$207,"5,720 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99425-Reviews-Martinique_New_York_on_Broadway_Curio_Collection_by_Hilton-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
SponsoredGrand Hyatt New York,$244,"11,796 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
"The Bernic Hotel New York City, Tapestry Collection by Hilton",$244,783 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d8776490-Reviews-The_Bernic_Hotel_New_York_City_Tapestry_Collection_by_Hilton-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Cambria Hotel New York - Chelsea,"$401
$383","1,414 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d7130807-Reviews-Cambria_Hotel_New_York_Chelsea-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
"The Standard, High Line","$400
$360","4,106 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1218720-Reviews-The_Standard_High_Line-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
DoubleTree by Hilton Hotel New York Times Square West,$242,"2,351 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d11236004-Reviews-DoubleTree_by_Hilton_Hotel_New_York_Times_Square_West-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Casablanca Hotel by Library Hotel Collection,$129,"6,993 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_by_Library_Hotel_Collection-New_York_City_New_York.html#REVIEWS,5 of 5 bubbles
SponsoredLibrary Hotel by Library Hotel Collection,$179,"4,898 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d224221-Reviews-Library_Hotel_by_Library_Hotel_Collection-New_York_City_New_York.html#REVIEWS,5 of 5 bubbles
Artezen Hotel,"$372
$297",238 reviews,https://www.tripadvisor.com//Hotel_Review-g60763-d15237449-Reviews-Artezen_Hotel-New_York_City_New_York.html#REVIEWS,5 of 5 bubbles
San Carlos Hotel,$430,"1,905 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Room Mate Grace,$305,"1,829 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d518280-Reviews-Room_Mate_Grace-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Hampton Inn Manhattan-35th St Empire State Bldg,$305,"2,751 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1158763-Reviews-Hampton_Inn_Manhattan_35th_St_Empire_State_Bldg-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Element New York Times Square West,"$189
$129","5,211 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d1852917-Reviews-Element_New_York_Times_Square_West-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
